source,target,best_lag,lag_correlation,lag_strength,source_name,target_name,source_sector,target_sector
DLF.NS,M&M.NS,2,0.07163531460318431,0.07163531460318431,DLF,Mahindra & Mahindra,Realty,Auto
DLF.NS,MARUTI.NS,3,0.014453735126969396,0.014453735126969396,DLF,Maruti Suzuki,Realty,Auto
DLF.NS,ONGC.NS,1,0.04389579477462298,0.04389579477462298,DLF,ONGC,Realty,Energy
DLF.NS,RELIANCE.NS,1,0.051778048428554845,0.051778048428554845,DLF,Reliance,Realty,Energy
DLF.NS,SBIN.NS,4,0.03261843696173174,0.03261843696173174,DLF,SBI,Realty,Banking
DLF.NS,SUNPHARMA.NS,4,0.0346202296925374,0.0346202296925374,DLF,Sun Pharma,Realty,Pharma
DLF.NS,TCS.NS,1,0.05190279974632861,0.05190279974632861,DLF,TCS,Realty,IT
DLF.NS,TMPV.NS,2,0.04245519367646207,0.04245519367646207,DLF,Tata Motors Passenger Vehicles,Realty,Auto
DLF.NS,WIPRO.NS,3,-0.04134717511370893,0.04134717511370893,DLF,Wipro,Realty,IT
DLF.NS,^NSEBANK,5,-0.031888594773267984,0.031888594773267984,DLF,Bank Nifty,Realty,Banking
DLF.NS,^NSEI,4,0.025129659774143,0.025129659774143,DLF,NIFTY 50,Realty,Market
DRREDDY.NS,AXISBANK.NS,1,-0.03304130291355163,0.03304130291355163,Dr Reddy's,Axis Bank,Pharma,Banking
DRREDDY.NS,BAJAJFINSV.NS,4,0.045107654216284286,0.045107654216284286,Dr Reddy's,Bajaj Finserv,Pharma,NBFC
DRREDDY.NS,BAJFINANCE.NS,1,-0.03047171461152128,0.03047171461152128,Dr Reddy's,Bajaj Finance,Pharma,NBFC
DRREDDY.NS,CL=F,4,0.07534379192903594,0.07534379192903594,Dr Reddy's,Crude Oil,Pharma,Energy
DRREDDY.NS,DLF.NS,2,-0.03695773222348035,0.03695773222348035,Dr Reddy's,DLF,Pharma,Realty
DRREDDY.NS,GC=F,3,-0.030858647049116568,0.030858647049116568,Dr Reddy's,Gold,Pharma,Safe Haven
DRREDDY.NS,GODREJPROP.NS,3,-0.025205897389687745,0.025205897389687745,Dr Reddy's,Godrej Properties,Pharma,Realty
DRREDDY.NS,HCLTECH.NS,1,-0.06250923472034944,0.06250923472034944,Dr Reddy's,HCL Tech,Pharma,IT
DRREDDY.NS,HDFCBANK.NS,2,-0.04434177185024606,0.04434177185024606,Dr Reddy's,HDFC Bank,Pharma,Banking
DRREDDY.NS,HINDUNILVR.NS,5,-0.030231950531756674,0.030231950531756674,Dr Reddy's,Hindustan Unilever,Pharma,FMCG
DRREDDY.NS,ICICIBANK.NS,1,-0.045064941739384544,0.045064941739384544,Dr Reddy's,ICICI Bank,Pharma,Banking
DRREDDY.NS,INFY.NS,5,-0.04797786284973783,0.04797786284973783,Dr Reddy's,Infosys,Pharma,IT
DRREDDY.NS,INR=X,4,-0.028796292703629794,0.028796292703629794,Dr Reddy's,USD/INR,Pharma,Macro
DRREDDY.NS,ITC.NS,5,-0.03971739490162796,0.03971739490162796,Dr Reddy's,ITC,Pharma,FMCG
DRREDDY.NS,M&M.NS,5,-0.0185539575059466,0.0185539575059466,Dr Reddy's,Mahindra & Mahindra,Pharma,Auto
DRREDDY.NS,MARUTI.NS,1,0.03558685717396145,0.03558685717396145,Dr Reddy's,Maruti Suzuki,Pharma,Auto
