source,target,ml_importance,source_name,target_name
TCS.NS,HINDUNILVR.NS,0.025544418284851895,TCS,Hindustan Unilever
INR=X,GODREJPROP.NS,0.02551115053677879,USD/INR,Godrej Properties
BAJFINANCE.NS,BAJAJFINSV.NS,0.02549360400307883,Bajaj Finance,Bajaj Finserv
TMPV.NS,ITC.NS,0.025487842931134264,Tata Motors Passenger Vehicles,ITC
INFY.NS,TMPV.NS,0.025378172803879873,Infosys,Tata Motors Passenger Vehicles
ONGC.NS,INR=X,0.025360402239002176,ONGC,USD/INR
^NSEBANK,INFY.NS,0.02529973779891764,Bank Nifty,Infosys
HDFCBANK.NS,WIPRO.NS,0.02522544463220102,HDFC Bank,Wipro
SBIN.NS,RELIANCE.NS,0.02511016874144938,SBI,Reliance
^NSEI,HINDUNILVR.NS,0.02508477038651768,NIFTY 50,Hindustan Unilever
TCS.NS,^NSEBANK,0.024992363068028083,TCS,Bank Nifty
HINDUNILVR.NS,SBIN.NS,0.02487557297115019,Hindustan Unilever,SBI
AXISBANK.NS,GODREJPROP.NS,0.02484320937276276,Axis Bank,Godrej Properties
BAJAJFINSV.NS,ITC.NS,0.024801800585121322,Bajaj Finserv,ITC
MARUTI.NS,TMPV.NS,0.024793273451159253,Maruti Suzuki,Tata Motors Passenger Vehicles
^NSEI,INFY.NS,0.024707579538030617,NIFTY 50,Infosys
^NSEBANK,HINDUNILVR.NS,0.024556375055968426,Bank Nifty,Hindustan Unilever
INR=X,BAJFINANCE.NS,0.02451931101658815,USD/INR,Bajaj Finance
INR=X,TMPV.NS,0.024399583434354735,USD/INR,Tata Motors Passenger Vehicles
AXISBANK.NS,^NSEBANK,0.024383404413583762,Axis Bank,Bank Nifty
HDFCBANK.NS,SUNPHARMA.NS,0.024253890515405437,HDFC Bank,Sun Pharma
ICICIBANK.NS,TCS.NS,0.024203662336615958,ICICI Bank,TCS
^NSEBANK,ITC.NS,0.02415705183423031,Bank Nifty,ITC
CL=F,DRREDDY.NS,0.024116775388740845,Crude Oil,Dr Reddy's
TCS.NS,ITC.NS,0.02405005232695163,TCS,ITC
TMPV.NS,M&M.NS,0.02404320592896538,Tata Motors Passenger Vehicles,Mahindra & Mahindra
ITC.NS,TCS.NS,0.023986674116595278,ITC,TCS
^NSEBANK,WIPRO.NS,0.023899877491291723,Bank Nifty,Wipro
INR=X,^NSEI,0.02387616811210507,USD/INR,NIFTY 50
GC=F,DLF.NS,0.023874395981569905,Gold,DLF
^NSEBANK,TCS.NS,0.023873516998566408,Bank Nifty,TCS
DLF.NS,HINDUNILVR.NS,0.023872973901605275,DLF,Hindustan Unilever
WIPRO.NS,^NSEBANK,0.023842078463667704,Wipro,Bank Nifty
HDFCBANK.NS,BAJFINANCE.NS,0.023825145025516924,HDFC Bank,Bajaj Finance
ITC.NS,WIPRO.NS,0.023763273168123655,ITC,Wipro
INFY.NS,SBIN.NS,0.023727210319832423,Infosys,SBI
BAJFINANCE.NS,GC=F,0.0236044832594707,Bajaj Finance,Gold
M&M.NS,RELIANCE.NS,0.02355281828136417,Mahindra & Mahindra,Reliance
INR=X,HINDUNILVR.NS,0.023365395987884088,USD/INR,Hindustan Unilever
INFY.NS,ONGC.NS,0.023231528963067207,Infosys,ONGC
GODREJPROP.NS,ICICIBANK.NS,0.02322372262736523,Godrej Properties,ICICI Bank
HCLTECH.NS,BAJAJFINSV.NS,0.023151084577171653,HCL Tech,Bajaj Finserv
HCLTECH.NS,BAJFINANCE.NS,0.023022584138928753,HCL Tech,Bajaj Finance
DRREDDY.NS,GODREJPROP.NS,0.022866358652867225,Dr Reddy's,Godrej Properties
GC=F,^NSEBANK,0.022861639861307542,Gold,Bank Nifty
HCLTECH.NS,CL=F,0.02272632571140125,HCL Tech,Crude Oil
INR=X,RELIANCE.NS,0.022696940376818204,USD/INR,Reliance
